interval,time_start,lambda_T1,mu_d_T1,lambda_T2,mu_d_T2
1,00:00,11.2000,5.4000,7.0000,4.0000
2,00:05,18.4000,3.2000,7.4000,3.4000
3,00:10,19.6000,3.0000,6.0000,3.6000
4,00:15,9.8000,5.8000,7.2000,4.0000
5,00:20,9.6000,4.8000,13.4000,3.8000
6,00:25,8.8000,5.2000,13.0000,4.2000
7,00:30,4.8000,5.0000,12.8000,5.8000
8,00:35,11.2000,7.0000,11.6000,4.4000
9,00:40,7.0000,7.0000,14.0000,7.6000
10,00:45,6.6000,5.6000,10.8000,5.0000
11,00:50,5.0000,5.2000,8.8000,5.4000
12,00:55,7.8000,5.8000,9.6000,4.8000
13,01:00,10.0000,8.8000,9.2000,6.0000
14,01:05,13.6000,8.0000,10.6000,6.2000
15,01:10,13.8000,8.2000,5.2000,8.8000
16,01:15,22.4000,9.8000,5.4000,5.8000
17,01:20,14.2000,7.0000,4.8000,8.8000
18,01:25,11.8000,10.4000,1.8000,7.0000
19,01:30,10.4000,7.4000,1.8000,7.6000
20,01:35,3.8000,8.2000,2.6000,6.6000
21,01:40,4.4000,10.6000,3.0000,7.8000
22,01:45,4.2000,9.0000,0.0000,9.2000
23,01:50,2.4000,13.2000,5.6000,7.0000
24,01:55,4.2000,9.0000,10.0000,8.4000
25,02:00,2.8000,10.4000,9.6000,8.2000
26,02:05,8.4000,10.4000,11.2000,7.8000
27,02:10,7.2000,12.6000,7.6000,9.4000
28,02:15,12.8000,12.6000,2.6000,9.2000
29,02:20,10.6000,10.6000,2.8000,10.8000
30,02:25,2.6000,13.4000,2.0000,9.4000
31,02:30,2.4000,12.8000,2.8000,12.0000
32,02:35,0.0000,13.8000,0.0000,9.0000
33,02:40,4.0000,14.2000,0.0000,11.6000
34,02:45,2.4000,14.4000,0.0000,9.4000
35,02:50,4.4000,12.6000,1.2000,9.8000
36,02:55,2.8000,13.2000,1.0000,8.4000
37,03:00,0.0000,14.8000,1.2000,9.2000
38,03:05,0.0000,15.8000,1.4000,8.2000
39,03:10,3.6000,16.8000,2.2000,8.6000
40,03:15,3.4000,17.0000,0.2000,8.8000
41,03:20,6.2000,14.4000,4.8000,10.0000
42,03:25,6.0000,17.0000,8.0000,7.8000
43,03:30,3.8000,10.4000,8.6000,8.2000
44,03:35,4.2000,17.2000,8.8000,7.8000
45,03:40,0.0000,12.6000,7.2000,8.2000
46,03:45,0.0000,15.2000,9.0000,8.6000
47,03:50,0.0000,15.8000,9.8000,5.4000
48,03:55,0.0000,19.0000,8.8000,4.8000
49,04:00,0.0000,14.2000,9.2000,6.6000
50,04:05,0.0000,17.2000,5.4000,4.6000
51,04:10,0.0000,14.8000,5.2000,7.4000
52,04:15,6.0000,14.0000,2.8000,6.2000
53,04:20,7.2000,11.6000,1.6000,5.6000
54,04:25,6.6000,12.6000,4.2000,4.4000
55,04:30,9.4000,14.4000,2.6000,6.8000
56,04:35,1.4000,13.4000,2.6000,6.4000
57,04:40,1.4000,9.0000,2.2000,5.4000
58,04:45,0.4000,12.0000,1.2000,7.4000
59,04:50,1.0000,12.0000,1.6000,7.8000
60,04:55,5.4000,8.0000,1.0000,6.6000
61,05:00,3.6000,11.0000,1.8000,8.8000
62,05:05,2.6000,9.8000,1.6000,8.8000
63,05:10,6.4000,11.6000,1.0000,9.0000
64,05:15,3.0000,11.0000,1.4000,10.0000
65,05:20,4.2000,11.8000,3.4000,12.6000
66,05:25,3.6000,9.8000,3.4000,6.8000
67,05:30,0.0000,11.4000,2.2000,7.4000
68,05:35,0.0000,9.4000,2.6000,8.6000
69,05:40,0.0000,12.0000,2.4000,9.6000
70,05:45,0.0000,10.6000,2.8000,8.4000
71,05:50,0.0000,8.2000,1.6000,9.0000
72,05:55,0.0000,11.0000,2.2000,11.0000
73,06:00,0.0000,9.4000,4.2000,8.8000
74,06:05,0.0000,9.0000,0.0000,10.2000
75,06:10,2.6000,11.6000,0.0000,8.6000
76,06:15,3.8000,11.2000,0.0000,8.4000
77,06:20,3.6000,8.4000,0.0000,9.2000
78,06:25,3.6000,9.0000,0.0000,9.4000
79,06:30,0.0000,12.4000,0.0000,7.2000
80,06:35,0.0000,8.4000,0.0000,8.8000
81,06:40,3.4000,11.6000,2.2000,11.4000
82,06:45,3.0000,11.8000,1.4000,9.0000
83,06:50,9.4000,10.4000,2.2000,5.6000
84,06:55,8.0000,9.2000,2.0000,8.8000
85,07:00,6.2000,15.2000,0.6000,9.6000
86,07:05,5.6000,11.0000,2.2000,7.8000
87,07:10,2.6000,12.6000,2.0000,9.6000
88,07:15,0.0000,15.2000,0.6000,9.4000
89,07:20,2.6000,12.6000,2.0000,7.4000
90,07:25,2.2000,12.0000,3.0000,8.2000
91,07:30,3.8000,11.8000,2.8000,8.0000
92,07:35,2.6000,12.6000,4.4000,6.0000
93,07:40,3.6000,17.2000,4.4000,7.0000
94,07:45,2.4000,11.8000,3.4000,6.6000
95,07:50,3.6000,14.4000,3.0000,5.0000
96,07:55,4.0000,13.2000,0.0000,7.6000
97,08:00,0.0000,14.0000,0.0000,4.8000
98,08:05,3.2000,16.8000,0.0000,5.4000
99,08:10,3.0000,11.8000,10.0000,7.2000
100,08:15,2.0000,15.4000,12.8000,6.6000
101,08:20,4.8000,11.4000,13.4000,7.8000
102,08:25,2.8000,11.8000,15.0000,6.6000
103,08:30,3.2000,13.8000,6.6000,5.2000
104,08:35,6.0000,8.6000,3.0000,5.4000
105,08:40,6.4000,6.4000,9.2000,6.4000
106,08:45,8.0000,7.8000,6.6000,6.0000
107,08:50,17.4000,7.8000,16.4000,6.2000
108,08:55,15.4000,5.6000,14.4000,8.4000
109,09:00,14.8000,5.4000,11.2000,5.8000
110,09:05,10.0000,5.8000,12.2000,7.8000
111,09:10,7.2000,4.6000,3.6000,7.2000
112,09:15,5.4000,4.4000,0.0000,5.4000
113,09:20,5.8000,4.2000,3.0000,5.6000
114,09:25,7.4000,6.6000,2.6000,6.8000
115,09:30,9.8000,7.4000,4.2000,4.6000
116,09:35,7.4000,6.2000,6.2000,4.4000
117,09:40,5.0000,5.2000,9.6000,7.4000
118,09:45,9.4000,4.8000,8.8000,6.8000
119,09:50,12.6000,9.6000,7.0000,5.4000
120,09:55,12.8000,5.0000,10.4000,6.0000
121,10:00,13.4000,4.8000,8.0000,8.4000
122,10:05,8.6000,6.4000,6.4000,7.4000
123,10:10,10.2000,8.2000,9.4000,7.2000
124,10:15,10.4000,10.4000,10.8000,5.8000
125,10:20,12.6000,8.2000,11.4000,5.4000
126,10:25,10.4000,6.0000,8.6000,5.6000
127,10:30,7.8000,5.8000,11.8000,5.8000
128,10:35,6.0000,6.2000,7.0000,4.2000
129,10:40,4.6000,6.2000,3.6000,8.6000
130,10:45,6.2000,9.6000,5.0000,6.6000
131,10:50,14.6000,4.6000,3.0000,7.6000
132,10:55,12.6000,6.2000,1.4000,7.2000
133,11:00,16.6000,10.4000,4.8000,8.2000
134,11:05,15.8000,6.2000,4.0000,6.8000
135,11:10,18.4000,6.0000,3.2000,4.8000
136,11:15,24.2000,7.2000,6.2000,5.6000
137,11:20,17.8000,4.8000,6.2000,4.4000
138,11:25,25.6000,7.6000,4.8000,3.2000
139,11:30,21.6000,6.4000,5.0000,4.2000
140,11:35,12.4000,6.6000,4.4000,3.2000
141,11:40,7.2000,4.6000,6.6000,3.6000
142,11:45,1.4000,5.6000,5.2000,3.6000
143,11:50,0.0000,4.8000,8.2000,3.0000
144,11:55,0.0000,4.2000,4.8000,4.8000
145,12:00,3.4000,6.2000,6.2000,3.8000
146,12:05,4.0000,7.4000,4.8000,5.6000
147,12:10,9.8000,4.0000,7.6000,4.2000
148,12:15,12.0000,9.4000,12.6000,5.6000
149,12:20,8.2000,9.6000,12.2000,5.6000
150,12:25,9.4000,7.0000,10.6000,6.2000
151,12:30,17.4000,5.6000,6.6000,6.6000
152,12:35,16.8000,7.4000,2.2000,4.8000
153,12:40,20.0000,5.4000,3.6000,6.4000
154,12:45,18.4000,6.0000,3.2000,3.4000
155,12:50,13.2000,3.6000,2.0000,7.4000
156,12:55,11.0000,5.4000,5.8000,5.8000
157,13:00,6.8000,8.4000,6.2000,6.4000
158,13:05,5.2000,6.2000,9.4000,7.4000
159,13:10,7.2000,6.2000,7.6000,5.4000
160,13:15,8.2000,6.4000,4.2000,4.2000
161,13:20,8.4000,6.8000,3.6000,5.2000
162,13:25,12.8000,6.0000,3.6000,4.8000
163,13:30,13.4000,5.4000,5.8000,4.0000
164,13:35,10.6000,6.8000,9.6000,5.0000
165,13:40,11.2000,4.4000,9.6000,5.6000
166,13:45,6.6000,4.8000,8.8000,6.2000
167,13:50,3.4000,6.0000,8.4000,6.2000
168,13:55,7.6000,6.6000,7.0000,6.0000
169,14:00,11.0000,5.8000,7.6000,6.6000
170,14:05,14.4000,4.8000,9.2000,5.4000
171,14:10,12.4000,4.0000,6.8000,8.2000
172,14:15,13.4000,6.0000,3.2000,5.4000
173,14:20,13.6000,6.6000,5.0000,7.4000
174,14:25,11.8000,6.8000,8.0000,7.8000
175,14:30,10.8000,6.4000,7.6000,8.8000
176,14:35,8.6000,5.0000,9.2000,9.2000
177,14:40,15.4000,5.2000,2.4000,7.2000
178,14:45,9.6000,5.0000,0.8000,6.2000
179,14:50,20.2000,3.4000,1.8000,8.4000
180,14:55,19.8000,4.0000,5.0000,8.0000
181,15:00,11.6000,5.8000,6.0000,8.8000
182,15:05,13.4000,4.2000,4.4000,10.2000
183,15:10,11.0000,5.4000,7.8000,6.4000
184,15:15,17.4000,7.4000,4.8000,6.2000
185,15:20,15.0000,6.6000,7.2000,7.6000
186,15:25,15.0000,8.2000,7.2000,8.0000
187,15:30,14.2000,7.2000,5.8000,7.8000
188,15:35,7.6000,4.2000,1.6000,4.4000
189,15:40,9.4000,9.4000,1.2000,6.6000
190,15:45,8.6000,3.2000,2.2000,7.0000
191,15:50,12.6000,6.8000,2.0000,7.6000
192,15:55,14.6000,5.2000,8.4000,5.4000
193,16:00,15.4000,5.6000,5.0000,8.4000
194,16:05,14.8000,3.4000,7.4000,4.2000
195,16:10,11.2000,4.2000,15.0000,7.2000
196,16:15,7.0000,3.8000,6.4000,6.0000
197,16:20,7.0000,3.2000,10.2000,6.0000
198,16:25,9.2000,2.4000,4.8000,6.8000
199,16:30,9.0000,5.6000,2.8000,7.0000
200,16:35,9.8000,4.2000,2.4000,7.0000
201,16:40,18.4000,5.6000,2.8000,5.8000
202,16:45,11.8000,7.8000,6.2000,4.6000
203,16:50,14.6000,6.0000,4.8000,4.2000
204,16:55,19.4000,4.8000,5.8000,4.2000
205,17:00,11.2000,5.0000,2.8000,5.8000
206,17:05,8.4000,4.2000,1.4000,3.8000
207,17:10,7.2000,3.8000,1.8000,2.8000
208,17:15,3.6000,3.2000,1.2000,5.4000
209,17:20,7.0000,4.6000,2.8000,3.6000
210,17:25,7.6000,5.0000,4.4000,3.6000
211,17:30,11.0000,4.4000,6.4000,5.0000
212,17:35,24.8000,3.6000,4.8000,2.8000
213,17:40,26.4000,5.0000,6.4000,5.4000
214,17:45,19.8000,2.6000,9.4000,4.8000
215,17:50,15.6000,2.8000,7.0000,6.0000
216,17:55,10.0000,5.0000,9.4000,4.0000
217,18:00,0.4000,4.2000,7.2000,4.0000
218,18:05,6.8000,6.0000,6.0000,5.8000
219,18:10,8.0000,3.4000,22.8000,5.4000
220,18:15,7.6000,2.6000,14.4000,3.4000
221,18:20,9.0000,4.2000,12.2000,4.8000
222,18:25,4.8000,4.8000,18.4000,4.4000
223,18:30,4.6000,5.2000,1.0000,4.2000
224,18:35,9.4000,2.8000,3.8000,4.4000
225,18:40,13.0000,2.8000,3.6000,3.0000
226,18:45,13.2000,3.6000,5.2000,3.0000
227,18:50,14.6000,3.0000,6.4000,3.2000
228,18:55,13.2000,2.4000,1.2000,3.4000
229,19:00,12.0000,1.2000,1.4000,3.8000
230,19:05,11.0000,1.2000,10.4000,3.6000
231,19:10,11.6000,0.6000,11.6000,3.0000
232,19:15,8.6000,1.2000,14.2000,1.8000
233,19:20,7.8000,0.6000,18.8000,3.8000
234,19:25,9.4000,0.0000,6.2000,2.8000
235,19:30,11.6000,0.2000,6.4000,2.2000
236,19:35,8.0000,0.2000,7.2000,2.0000
237,19:40,8.0000,0.0000,6.2000,2.8000
238,19:45,14.0000,0.2000,12.8000,3.2000
239,19:50,15.0000,0.0000,13.0000,2.4000
240,19:55,20.8000,0.0000,15.0000,3.4000
241,20:00,25.0000,0.0000,15.0000,2.4000
242,20:05,20.6000,0.4000,5.2000,0.8000
243,20:10,18.2000,0.6000,3.6000,3.0000
244,20:15,14.0000,1.4000,3.8000,2.6000
245,20:20,13.6000,1.4000,4.4000,2.6000
246,20:25,9.2000,0.2000,6.4000,2.4000
247,20:30,7.6000,1.2000,9.6000,2.4000
248,20:35,7.0000,1.2000,4.6000,5.6000
249,20:40,6.4000,1.2000,2.8000,4.0000
250,20:45,5.6000,3.6000,6.2000,4.8000
251,20:50,9.2000,2.0000,7.4000,3.4000
252,20:55,14.8000,3.2000,9.0000,3.8000
253,21:00,19.4000,2.2000,9.4000,3.6000
254,21:05,21.0000,2.2000,9.6000,6.8000
255,21:10,20.8000,2.0000,6.8000,4.2000
256,21:15,12.0000,3.4000,8.2000,4.6000
257,21:20,11.4000,2.0000,7.4000,2.8000
258,21:25,9.6000,2.4000,8.8000,4.6000
259,21:30,9.2000,2.2000,3.8000,5.4000
260,21:35,15.8000,2.4000,0.0000,4.2000
261,21:40,14.0000,1.8000,2.8000,6.0000
262,21:45,11.6000,1.6000,2.0000,5.2000
263,21:50,11.2000,1.0000,2.8000,4.2000
