Total_Passengers,TIME
5,0
5,1
5,2
5,3
5,4
6,5
6,6
6,7
6,8
6,9
6,10
6,11
6,12
6,13
6,14
6,15
6,16
6,17
6,18
6,19
6,20
6,21
6,22
6,23
6,24
6,25
6,26
6,27
6,28
6,29
6,30
6,31
6,32
6,33
6,34
6,35
6,36
6,37
6,38
6,39
6,40
6,41
6,42
6,43
6,44
6,45
6,46
6,47
6,48
6,49
6,50
6,51
6,52
5,53
5,54
5,55
5,56
5,57
5,58
5,59
5,60
5,61
5,62
5,63
5,64
4,65
4,66
4,67
4,68
4,69
4,70
4,71
4,72
4,73
4,74
3,75
3,76
3,77
3,78
3,79
3,80
3,81
3,82
3,83
2,84
2,85
2,86
2,87
2,88
2,89
2,90
2,91
2,92
2,93
2,94
2,95
1,96
1,97
1,98
1,99
1,100
1,101
1,102
1,103
1,104
1,105
1,106
1,107
1,108
1,109
1,110
1,111
1,112
1,113
1,114
1,115
1,116
1,117
1,118
1,119
1,120
1,121
1,122
1,123
1,124
2,125
2,126
2,127
2,128
2,129
2,130
2,131
2,132
3,133
3,134
3,135
3,136
3,137
4,138
4,139
4,140
4,141
5,142
5,143
5,144
5,145
6,146
6,147
6,148
7,149
7,150
7,151
8,152
8,153
9,154
9,155
9,156
10,157
10,158
11,159
11,160
12,161
12,162
13,163
13,164
14,165
14,166
15,167
15,168
16,169
16,170
17,171
17,172
18,173
19,174
19,175
20,176
20,177
21,178
21,179
22,180
23,181
23,182
24,183
24,184
25,185
26,186
26,187
27,188
27,189
28,190
29,191
29,192
30,193
30,194
31,195
32,196
32,197
33,198
33,199
34,200
35,201
35,202
36,203
36,204
37,205
37,206
38,207
38,208
39,209
39,210
40,211
40,212
41,213
41,214
42,215
42,216
43,217
43,218
43,219
44,220
44,221
44,222
44,223
45,224
45,225
45,226
45,227
46,228
46,229
46,230
46,231
46,232
46,233
46,234
46,235
46,236
46,237
46,238
46,239
46,240
46,241
46,242
46,243
46,244
46,245
46,246
46,247
46,248
46,249
46,250
46,251
45,252
45,253
45,254
45,255
45,256
45,257
45,258
45,259
44,260
44,261
44,262
44,263
44,264
44,265
44,266
44,267
43,268
43,269
43,270
43,271
43,272
43,273
43,274
43,275
43,276
43,277
42,278
42,279
42,280
42,281
42,282
42,283
42,284
42,285
41,286
41,287
41,288
41,289
41,290
41,291
41,292
40,293
40,294
40,295
40,296
40,297
40,298
39,299
39,300
39,301
39,302
39,303
38,304
38,305
38,306
38,307
38,308
38,309
37,310
37,311
37,312
37,313
37,314
37,315
37,316
37,317
36,318
36,319
36,320
36,321
36,322
36,323
36,324
36,325
36,326
36,327
36,328
36,329
36,330
36,331
36,332
36,333
36,334
36,335
36,336
36,337
36,338
36,339
36,340
36,341
36,342
36,343
36,344
36,345
36,346
36,347
36,348
36,349
35,350
35,351
35,352
35,353
35,354
35,355
35,356
34,357
34,358
34,359
34,360
34,361
33,362
33,363
33,364
33,365
32,366
32,367
32,368
31,369
31,370
31,371
31,372
30,373
30,374
30,375
29,376
29,377
29,378
28,379
28,380
28,381
27,382
27,383
27,384
26,385
26,386
26,387
26,388
25,389
25,390
25,391
25,392
24,393
24,394
24,395
24,396
24,397
24,398
24,399
24,400
24,401
23,402
23,403
23,404
23,405
23,406
24,407
24,408
24,409
24,410
24,411
24,412
24,413
24,414
24,415
24,416
25,417
25,418
25,419
25,420
25,421
25,422
26,423
26,424
26,425
26,426
26,427
27,428
27,429
27,430
27,431
28,432
28,433
28,434
28,435
28,436
29,437
29,438
29,439
29,440
29,441
30,442
30,443
30,444
30,445
30,446
31,447
31,448
31,449
31,450
31,451
32,452
32,453
32,454
32,455
32,456
32,457
33,458
33,459
33,460
33,461
33,462
33,463
33,464
33,465
33,466
33,467
33,468
33,469
34,470
34,471
34,472
34,473
34,474
34,475
33,476
33,477
33,478
33,479
33,480
33,481
33,482
33,483
33,484
33,485
33,486
32,487
32,488
32,489
32,490
32,491
32,492
31,493
31,494
31,495
31,496
31,497
30,498
30,499
30,500
30,501
30,502
30,503
29,504
29,505
29,506
29,507
29,508
28,509
28,510
28,511
28,512
28,513
28,514
28,515
27,516
27,517
27,518
27,519
27,520
27,521
27,522
27,523
27,524
26,525
26,526
26,527
26,528
26,529
26,530
26,531
26,532
26,533
26,534
26,535
26,536
26,537
26,538
26,539
26,540
26,541
26,542
26,543
26,544
26,545
26,546
26,547
27,548
27,549
27,550
27,551
27,552
27,553
27,554
27,555
27,556
27,557
27,558
27,559
27,560
27,561
27,562
27,563
28,564
28,565
28,566
28,567
28,568
28,569
28,570
28,571
28,572
28,573
28,574
28,575
28,576
28,577
28,578
28,579
28,580
28,581
28,582
28,583
28,584
28,585
28,586
28,587
28,588
28,589
28,590
28,591
28,592
28,593
28,594
28,595
28,596
28,597
28,598
28,599
28,600
28,601
28,602
28,603
27,604
27,605
27,606
27,607
27,608
27,609
27,610
27,611
27,612
27,613
27,614
27,615
27,616
27,617
27,618
27,619
27,620
27,621
27,622
27,623
27,624
27,625
27,626
27,627
27,628
27,629
27,630
27,631
27,632
27,633
27,634
27,635
27,636
27,637
27,638
27,639
27,640
27,641
27,642
27,643
27,644
27,645
27,646
27,647
27,648
27,649
27,650
27,651
26,652
26,653
26,654
26,655
26,656
26,657
26,658
25,659
25,660
25,661
25,662
25,663
25,664
24,665
24,666
24,667
24,668
24,669
24,670
23,671
23,672
23,673
23,674
23,675
23,676
23,677
23,678
23,679
22,680
22,681
22,682
22,683
22,684
22,685
22,686
22,687
22,688
22,689
22,690
22,691
23,692
23,693
23,694
23,695
23,696
23,697
23,698
23,699
24,700
24,701
24,702
24,703
24,704
25,705
25,706
25,707
25,708
26,709
26,710
26,711
26,712
27,713
27,714
27,715
27,716
27,717
28,718
28,719
28,720
28,721
28,722
29,723
29,724
29,725
29,726
29,727
29,728
29,729
30,730
30,731
30,732
30,733
30,734
30,735
30,736
30,737
30,738
30,739
30,740
30,741
29,742
29,743
29,744
29,745
29,746
29,747
29,748
28,749
28,750
28,751
28,752
28,753
27,754
27,755
27,756
27,757
26,758
26,759
26,760
26,761
25,762
25,763
25,764
24,765
24,766
24,767
24,768
23,769
23,770
23,771
22,772
22,773
22,774
22,775
21,776
21,777
21,778
21,779
20,780
20,781
20,782
20,783
20,784
19,785
19,786
19,787
19,788
19,789
19,790
19,791
19,792
19,793
19,794
18,795
18,796
18,797
19,798
19,799
19,800
19,801
19,802
19,803
19,804
19,805
19,806
20,807
20,808
20,809
20,810
20,811
21,812
21,813
21,814
21,815
22,816
22,817
22,818
23,819
23,820
23,821
24,822
24,823
24,824
25,825
25,826
25,827
26,828
26,829
26,830
27,831
27,832
27,833
28,834
28,835
29,836
29,837
29,838
29,839
30,840
30,841
30,842
31,843
31,844
31,845
31,846
32,847
32,848
32,849
32,850
33,851
33,852
33,853
33,854
33,855
33,856
33,857
34,858
34,859
34,860
34,861
34,862
34,863
34,864
34,865
34,866
34,867
34,868
34,869
34,870
34,871
34,872
34,873
34,874
34,875
34,876
34,877
34,878
34,879
34,880
34,881
34,882
34,883
34,884
35,885
35,886
35,887
35,888
35,889
35,890
35,891
35,892
35,893
35,894
35,895
35,896
35,897
35,898
35,899
35,900
35,901
35,902
35,903
35,904
35,905
35,906
36,907
36,908
36,909
36,910
36,911
36,912
36,913
36,914
36,915
36,916
35,917
35,918
35,919
35,920
35,921
35,922
35,923
35,924
35,925
35,926
35,927
35,928
34,929
34,930
34,931
34,932
34,933
34,934
34,935
34,936
33,937
33,938
33,939
33,940
33,941
33,942
33,943
32,944
32,945
32,946
32,947
32,948
32,949
32,950
31,951
31,952
31,953
31,954
31,955
31,956
31,957
31,958
31,959
31,960
31,961
30,962
30,963
30,964
30,965
30,966
30,967
30,968
30,969
30,970
30,971
30,972
30,973
30,974
30,975
30,976
30,977
30,978
30,979
30,980
30,981
30,982
30,983
29,984
29,985
29,986
29,987
29,988
29,989
29,990
29,991
29,992
29,993
29,994
29,995
29,996
29,997
29,998
29,999
29,1000
29,1001
28,1002
28,1003
28,1004
28,1005
28,1006
28,1007
28,1008
28,1009
28,1010
28,1011
28,1012
27,1013
27,1014
27,1015
27,1016
27,1017
27,1018
27,1019
27,1020
27,1021
26,1022
26,1023
26,1024
26,1025
26,1026
26,1027
26,1028
25,1029
25,1030
25,1031
25,1032
25,1033
25,1034
25,1035
25,1036
24,1037
24,1038
24,1039
24,1040
24,1041
24,1042
24,1043
24,1044
24,1045
24,1046
24,1047
24,1048
23,1049
23,1050
23,1051
23,1052
23,1053
23,1054
24,1055
24,1056
24,1057
24,1058
24,1059
24,1060
24,1061
24,1062
24,1063
25,1064
25,1065
25,1066
25,1067
25,1068
26,1069
26,1070
26,1071
26,1072
27,1073
27,1074
27,1075
28,1076
28,1077
28,1078
29,1079
29,1080
30,1081
30,1082
30,1083
31,1084
31,1085
32,1086
32,1087
32,1088
33,1089
33,1090
34,1091
34,1092
34,1093
35,1094
35,1095
36,1096
36,1097
36,1098
37,1099
37,1100
37,1101
38,1102
38,1103
38,1104
38,1105
39,1106
39,1107
39,1108
39,1109
39,1110
39,1111
40,1112
40,1113
40,1114
40,1115
40,1116
40,1117
40,1118
40,1119
40,1120
40,1121
40,1122
40,1123
40,1124
39,1125
39,1126
39,1127
39,1128
39,1129
38,1130
38,1131
38,1132
38,1133
37,1134
37,1135
37,1136
37,1137
36,1138
36,1139
36,1140
35,1141
35,1142
35,1143
34,1144
34,1145
33,1146
33,1147
33,1148
32,1149
32,1150
32,1151
31,1152
31,1153
30,1154
30,1155
30,1156
29,1157
29,1158
29,1159
